,date,name,title,description,link
667,27/05/2020 , [ENNAKL AUTOMOBILES],"Dividende proposé de 0,250D par action contre 0,580D une année auparavant","Le conseil a décidé de proposer la distribution d’un dividende de 0,25 Dinars par action, et de convoquer les actionnaires de la société pour une réunion en Assemblée Générale Ordinaire pour 24 Juin 2020 à 14H30 au siège de la société sis à la Charguia II Zone industrielle-Tunis.",http://www.bnacapitaux.com.tn/publications/news/390010_22052020-1.pdf
668,11/09/2020 , [SFBT],"AGO/AGE pour le mardi 24 novembre 2020, à 9H à l'hôtel Le Palace Gammarth - Les côtes de Carthage - GAMMARTH (salle Sérail) le 24/11/2020","L'AGE statuera sur l'absorption de la Compagnie de Fabrication et de Développement des Boissons ""C.F.D.B."" L'AGO, quant à elle, statuera sur la nomination de deux administrateurs",http://www.bnacapitaux.com.tn/publications/news/110025_1109202017450.pdf
669,21/09/2020 , [CARTHAGE CEMENT],Report de la date limite du dépôt du dossier de manifestation d’intérêt,"Prévu initialement pour le 25 septembre courant, le deadline pour la manifestation d’intérêt pour l’acquisition d’un bloc majoritaire dans le capital de la société Carthage Cement a été reporté au 4 décembre 2020 à 17h00......",http://www.bnacapitaux.com.tn/publications/news/740001_21092020-1.docx
670,27/05/2020 , [ASSAD],Etats financiers consolidés 2019,"Un résultat net part du groupe au 31/12/2019 en baisse de 62,8% à 3,1 MD.",http://www.bnacapitaux.com.tn/publications/news/390010_22052020-1.pdf
671,27/05/2020 , [ASSAD],Etats financiers individuels 2019,"Un résultat net au 31/12/2019 en baisse de 6,9% à 7,5MD",http://www.bnacapitaux.com.tn/publications/news/250065_2205202016929.pdf
672,27/05/2020 , [STB],Clôture des souscriptions à l’emprunt obligataire subordonné «STB 2020-1» de 35MDT susceptible d’être porté à un maximum de 50MDT,"La STB FINANCE, intermédiaire en Bourse, porte à la connaissance du public que les souscriptions à l’emprunt obligataire subordonné «STB 2020-1» de 35MDT susceptible d’être porté à un maximum de 50MDT, ouvertes au public le 16 mars 2020, ont été clôturées le 29 avril 2020, pour un montant de 50MDT.",http://www.bnacapitaux.com.tn/publications/news/725001_21052020-1.pdf
673,26/05/2020 , [Physionomie quotidienne],Veuillez télécharger notre physionomie quotidienne de la séance du 26/05/2020,"Le marché a clôturé la séance d'aujourd'hui sur une note stable pour le Tunindex ramenant ainsi sa performance depuis le début de 2020 à-9,1%. Les capitaux transigés se sont élevés à 1,982MD.",http://www.bnacapitaux.com.tn/publications/news/725001_21052020-1.pdf
674,26/05/2020 , [CIL],Franchissement à la baisse des seuils de 5%.,"GAT ASSURANCES a allégé sa position dans le capital de la société CIL par la cession de 375 000 titres en bourse du 19/05/2020 ramenant sa participation dans la capital à 3,15% contre 7,05% avant la franchissement de seuil à la baisse.",http://www.bnacapitaux.com.tn/publications/news/210090_21052020-1.pdf
675,26/05/2020 , [BT],AGO pour le 09 juin 2020 à 9h00 à distance,"La BANQUE DE TUNISIE informe ses actionnaires que son Assemblée Générale Ordinaire sera tenue le Mardi, 9 Juin 2020 à 9h00.Vu les circonstances liées à l’épidémie covid-19, la réunion sera tenue à distance conformément aux mesures prises par le Conseil du Marché Financier dans son communiqué du 19 Mars 2020.En conséquence les actionnaires sont invités à privilégier leur participation via un vote exprimé par courrier (signature légalisée) ou donner pouvoir au président de l’Assemblée.",http://www.bnacapitaux.com.tn/publications/news/110025_1109202017450.pdf
676,11/09/2020 , [SFBT],"AGO/AGE pour le mardi 24 novembre 2020, à 9H à l'hôtel Le Palace Gammarth - Les côtes de Carthage - GAMMARTH (salle Sérail) le 24/11/2020","L'AGE statuera sur l'absorption de la Compagnie de Fabrication et de Développement des Boissons ""C.F.D.B."" L'AGO, quant à elle, statuera sur la nomination de deux administrateurs",http://www.bnacapitaux.com.tn/publications/news/740001_21092020-1.docx
677,21/09/2020 , [CARTHAGE CEMENT],Report de la date limite du dépôt du dossier de manifestation d’intérêt,"Prévu initialement pour le 25 septembre courant, le deadline pour la manifestation d’intérêt pour l’acquisition d’un bloc majoritaire dans le capital de la société Carthage Cement a été reporté au 4 décembre 2020 à 17h00......",http://www.bnacapitaux.com.tn/publications/news/644001_2105202016924.pdf
678,26/05/2020 , [DELICE HOLDING],AGO pour le jeudi 25 juin 2020 à 11h00 par visioconférence,"Le Conseil d'Administration de la société DELICE HOLDING –SA- « DH », réuni le lundi 27 avril 2020 a décidé de convoquer l’Assemblée Générale Ordinaire pour le jeudi 25 juin 2020 à 11h00 par visioconférence à l’effet de délibérer sur.......",http://www.bnacapitaux.com.tn/publications/news/644001_2105202016923.pdf
679,26/05/2020 , [BT],Pas de distribution de dividendes au titre de l'exercice 2019,"Afin de se conformer aux recommandations de la Banque centrale de Tunisie (note de la BCT 2020-17), qui a décidé de suspendre toute mesure de distribution de dividendes des établissements bancaires, le Conseil d’Administration de la Banque de Tunisie convoque l’Assemblée Générale Ordinaire à se tenir le 9 juin 2020 dans le respect des recommandations du CMF du 19/03/2020 et propose l’affectation de la totalité du résultat de l’exercice 2019 en Report à nouveau.",http://www.bnacapitaux.com.tn/publications/news/656001_20052020-1.pdf
680,26/05/2020 , [CARTHAGE CEMENT],Cession des participations directes et indirectes de l’Etat dans le capital de la société Carthage Cement,"Al Karama Holding rappelle qu’en date du 23/02/2020 un avis a été publié pour informer les investisseurs tunisiens et étrangers de la reprise officielle du processus de cession des participations directes et indirectes de l’Etat dans le capital de la société Carthage Cement courant le mois de Mars 2020. Cependant, suite à la crise sanitaire mondiale causée par le COVID19 et à la mesure du confinement prise par l’Etat pour combattre la pandémie, Al Karama Holding a continué à avancer sur le dossier mais reporte l’annonce de pré-qualification au début du mois de juin.",http://www.bnacapitaux.com.tn/publications/news/other_19052020-1.pdf
681,26/05/2020 , [Participation Etrangere],Situation de la semaine du 15 mai au 22 mai 2020,Un flux vendeur sur les titres ADWYA et CARTHAGE CEMENT.,http://www.bnacapitaux.com.tn/publications/news/310060_1905202016919.pdf
682,22/05/2020 , [Physionomie hebdomadaire],Veuillez télécharger notre physionomie hebdomadaire de la semaine du 18 au 22 Mai 2020,"Le marché a clôturé la dernière semaine du mois saint sur une note négative avec un repli hebdomadaire de 0,15% ramenant ainsi sa performance depuis le début de l’année 2020 à -9,1%. Le volume des échanges s’est élevé à 22,1MD dont 5,8MD sous forme de transactions de bloc réalisées sur le titre CIL. Toute l’équipe de BNA Capitaux vous souhaite de joyeuses fêtes à l’occasion de l’AID",http://www.bnacapitaux.com.tn/publications/news/110025_1109202017450.pdf
683,22/05/2020 , [CIL],Déclarations d'opérations significatives,"Déclaration des opérations significatives réalisées par La SOCIETE JUBA SARL, dans le cadre de l'application de l'article 14 du règlement du Conseil du Marché Financier relatif à la lutte contre les manquements sur le marché.",http://www.bnacapitaux.com.tn/publications/news/740001_21092020-1.docx
684,11/09/2020 , [SFBT],"AGO/AGE pour le mardi 24 novembre 2020, à 9H à l'hôtel Le Palace Gammarth - Les côtes de Carthage - GAMMARTH (salle Sérail) le 24/11/2020","L'AGE statuera sur l'absorption de la Compagnie de Fabrication et de Développement des Boissons ""C.F.D.B."" L'AGO, quant à elle, statuera sur la nomination de deux administrateurs",http://www.bnacapitaux.com.tn/publications/news/310060_1905202016918.pdf
685,21/09/2020 , [CARTHAGE CEMENT],Report de la date limite du dépôt du dossier de manifestation d’intérêt,"Prévu initialement pour le 25 septembre courant, le deadline pour la manifestation d’intérêt pour l’acquisition d’un bloc majoritaire dans le capital de la société Carthage Cement a été reporté au 4 décembre 2020 à 17h00......",http://www.bnacapitaux.com.tn/publications/news/130055_19052020-1.pdf
686,22/05/2020 , [CIL],Déclarations d'opérations significatives,"Déclaration des opérations significatives réalisées par Monsieur Habib BOUAZIZ, dans le cadre de l'application de l'article 14 du règlement du Conseil du Marché Financier relatif à la lutte contre les manquements sur le marché.",http://www.bnacapitaux.com.tn/publications/news/765001_19052020-1.pdf
687,22/05/2020 , [SOTRAPIL],Résultat de l'exercice 2019,"Selon le projet de résolutions de l'AGO du 17/06/2020, la société a clôturé l'exercice 2019 avec un bénéfice net de 7,4MD en progression de 4,3% par rapport à 2018.",http://www.bnacapitaux.com.tn/publications/news/other_18052020-1.pdf
688,22/05/2020 , [SOTRAPIL],Projet de résolutions de l'AGO du 17/06/2020,"L'AGO devra statuer sur la distribution d'un dividende de 1D par action contre 0,950D par action l'année dernière.",http://www.bnacapitaux.com.tn/publications/news/380070_18052020-1.pdf
689,22/05/2020 , [SOTRAPIL],AGO à 10H à l'Hôtel Sheraton - Tunis le 17/06/2020,,http://www.bnacapitaux.com.tn/publications/news/720001_18052020-1.pdf
690,22/05/2020 , [ALKIMIA],Etats financiers consolidés arrêtés au 31/12/2019,"En 2019, le groupe creuse sa perte à 29,2MD contre -18,4MD en 2018.",http://www.bnacapitaux.com.tn/publications/news/110025_1109202017450.pdf
691,22/05/2020 , [UNIMED],Etats financiers arrêtés au 31/12/2019,"En 2019, la société a réalisé un bénéfice net de 17,7MD en repli de 3,6% par rapport à 2018.",http://www.bnacapitaux.com.tn/publications/news/740001_21092020-1.docx
692,11/09/2020 , [SFBT],"AGO/AGE pour le mardi 24 novembre 2020, à 9H à l'hôtel Le Palace Gammarth - Les côtes de Carthage - GAMMARTH (salle Sérail) le 24/11/2020","L'AGE statuera sur l'absorption de la Compagnie de Fabrication et de Développement des Boissons ""C.F.D.B."" L'AGO, quant à elle, statuera sur la nomination de deux administrateurs",http://www.bnacapitaux.com.tn/publications/news/653001_18052020-1.pdf
693,21/09/2020 , [CARTHAGE CEMENT],Report de la date limite du dépôt du dossier de manifestation d’intérêt,"Prévu initialement pour le 25 septembre courant, le deadline pour la manifestation d’intérêt pour l’acquisition d’un bloc majoritaire dans le capital de la société Carthage Cement a été reporté au 4 décembre 2020 à 17h00......",http://www.bnacapitaux.com.tn/publications/news/other_17052020-1.pdf
694,22/05/2020 , [ALKIMIA],Etats financiers individuels arrêtés au 31/12/2019,"La société a clôturé l'exercice 2019 avec une perte de 15,9MD.",http://www.bnacapitaux.com.tn/publications/news/751001_15052020-1.pdf
695,22/05/2020 , [ASS MULTI ITTIHAD],Mesures exceptionnelles liées à la tenue de l'AGO et AGE du 05/06/2020,"Au vu des circonstances exceptionnelles actuelles , et à la suite des mesures prises par les autorités pour limiter la propagation de la pandémie COVID-19 et conformément au communiqué du CMF du 19-03-2020 relatif à la tenue des Assemblées Générales des sociétés faisant appel public à l’épargne, sans présence physique des actionnaires, AMI assurances informe ses honorables actionnaires, que les réunions de ses Assemblées Générales ordinaire et extraordinaire prévues le 5 Juin 2020 seront tenues à distance. A cet effet, les actionnaires sont invités à privilégier la participation via un vote exprimé par courrier (signature légalisée) ou à donner pouvoir au Président des Assemblées ou au représentant de petits porteurs ou à un autre actionnaire de leur choix.",http://www.bnacapitaux.com.tn/publications/news/other_15052020-1.pdf
696,22/05/2020 , [MAGASIN GENERAL],Projet de résolutions de l'AGO et AGE du 04/06/2020,"L'AGO devra approuver les comptes individuels et consolidés relatifs à l'exercice 2019 et statuer sur le non distribution de dividendes. Quant à l'AGE, elle devra statuer sur la mise en conformité des statuts.",
697,22/05/2020 , [MAGASIN GENERAL],AGO/AGE à 10H au siège de la société - Tunis (par visioconférence) le 04/06/2020,"Compte tenu de la situation actuelle de l’épidémie de coronavirus COVID-19, les Assemblées Générales devraient se tenir à distance, c-à-d sans la présence physique des actionnaires en application stricte des impératifs sanitaires et ce conformément au communiqué du CMF relatif aux modalités d’organisation de la tenue des assemblées. En conséquence les actionnaires sont invités à privilégier leurs participations via un vote exprimé par courrier (signature légalisée) selon le formulaire unique mis à leurs dispositions sur le site ou donner pouvoir au président de l’Assemblée.",http://www.bnacapitaux.com.tn/publications/news/180045_1505202016906.pdf
698,22/05/2020 , [POULINA GP HOLDING],AG Elective à 11H au siège de la société - Ezzahra le 05/06/2020,L'Assemblée devra élire un nouveau administrateur représentant les petits porteurs,http://www.bnacapitaux.com.tn/publications/news/110025_1109202017450.pdf
699,22/05/2020 , [UIB],Déclarations d'opérations significatives,,http://www.bnacapitaux.com.tn/publications/news/740001_21092020-1.docx
700,11/09/2020 , [SFBT],"AGO/AGE pour le mardi 24 novembre 2020, à 9H à l'hôtel Le Palace Gammarth - Les côtes de Carthage - GAMMARTH (salle Sérail) le 24/11/2020","L'AGE statuera sur l'absorption de la Compagnie de Fabrication et de Développement des Boissons ""C.F.D.B."" L'AGO, quant à elle, statuera sur la nomination de deux administrateurs",http://www.bnacapitaux.com.tn/publications/news/180045_15052020-1.pdf
